省份,城市,上门范围（具体到城市区县）
北京,北京,五环之内都支持上门，五环外上地片区、回龙观片区、西二旗片区
上海,上海,黄埔区、卢湾区、徐汇区、长宁区、静安区、普陀区、闸北区、虹口区、杨浦区、闵行区、宝山区、嘉定区、浦东区、松江区及人民广场周边25公里都可以上门；崇明，金山，南汇不支持
广东,广州,荔湾区、越秀区、海珠区、天河区、白云区、黄浦区、番禺区，及地铁沿线（4号线、3号线北延段只包括部分站点）
广东,深圳,罗湖区、南山区、福田区、宝安区、龙岗区、龙华新区，主城地铁沿线区域
广东,佛山,南海区、禅城区、广佛地铁沿线区域
广东,珠海,香洲区、斗门区、金湾区
广东,惠州,惠城区，其它区域可以约中间点
江苏,苏州,姑苏区、吴中区、虎丘区、相城区、吴江区、工业园区、高新区、昆山市及中环街以内的其它区域
江苏,南京,玄武区、白下区、秦淮区、建邺区、鼓楼区、下关区、雨花台区等主城区以内区域
江苏,常州,钟楼区、新北区、天宁区、武进区
江苏,徐州,鼓楼区、云龙区、泉山区、等市区以内的区域
江苏,无锡,崇安区、南长区、北塘区、锡山区、惠山区、滨湖区
浙江,杭州,上城区、下城区、江干区、拱墅区、西湖区、滨江区、萧山区主城区、余杭区，以及地铁沿线的其它区域
浙江,宁波,海曙区、江北区、江东区、北仓区、鄞州区等市区，超出上门范围可与工程师约中间位置
湖北,武汉,武昌区、洪山区、硚口区、江汉区、江岸区、汉阳区、青山区、沌口经济开发区
四川,成都,武侯区、锦江区、青羊区、金牛区、成华区、温江区、天府新区、新都区、龙泉驿县、郫县、双流县，地铁1号线、地铁2号线部分站点（超出三环不是特别远并通地铁的，由工程师和用户约定中间点）
重庆,重庆,渝中区、大渡口区、江北区、沙坪坝区（含大学城）、九龙坡区、南岸区、渝北区、巴南区、北部新区等绕城高速以内区域，重庆主城地铁沿线的其它区域
云南,昆明,五华区、盘龙区、官渡区、西山区
河南,郑州,二七区、管城回族区、金水区，郑州四环以内区域
安徽,合肥,庐阳区、蜀山区、瑶海区等主城市区以内的区域
山东,济南,天桥区、市中区、历城区、历下区、高新区二环路以内
江西,南昌,东湖区，青山湖区，西湖区，青云谱区等主城以内区域
山东,青岛,市北区、市南区、崂山区、李沧区
陕西,西安,新城区、碑林区、莲湖区、未央区、雁塔区等三环以内的区域
天津,天津,和平区、河东区、河西区、南开区、红桥区
湖南,长沙,芙蓉区、岳麓区、开福区
福建,福州,鼓楼区、晋安区、台江区、仓山区
福建,厦门,海沧区、思明区、湖里区、集美区，同安区和翔安区可约中间位置
海南,海口,秀英区、龙华区、琼山区、美兰区
宁夏,银川,兴庆区、西夏区、金凤区
辽宁,大连,中山区、西岗区、沙河口区
广西,南宁,兴宁区、青秀区、良庆区
河北,石家庄,长安区、桥东区、桥西区、新华区、裕华区等二环以内的区域
内蒙古,呼和浩特市,回民区、玉泉区、赛罕区、新城区，其它区域可与工程师约中间点